"ICD","Flag","ICDString","Phecode","PhecodeString","PhecodeCategory"
"250","9","Diabetes mellitus","250","Diabetes mellitus","DIABETES"
"250.0","9","Diabetes mellitus without mention of complication","250","Diabetes mellitus","DIABETES"
"250.00","9","type II diabetes mellitus [non-insulin dependent type] [NIDDM type] [adult-onset type] or unspecified type, not stated as uncontrolled, without mention of complication","250.2","Type 2 diabetes","DIABETES"
"250.01","9","type I diabetes mellitus [insulin dependent type] [IDDM] [juvenile type], not stated as uncontrolled, without mention of complication","250.1","Type 1 diabetes","DIABETES"
"250.02","9","type II diabetes mellitus [non-insulin dependent type] [NIDDM type] [adult-onset type] or unspecified type, uncontrolled, without mention of complication","250.2","Type 2 diabetes","DIABETES"
"250.03","9","type I diabetes mellitus [juvenile type], uncontrolled, without mention of complication","250.1","Type 1 diabetes","DIABETES"
"250.1","9","Diabetes with ketoacidosis","250","Diabetes mellitus","DIABETES"
"250.10","9","type II diabetes mellitus [non-insulin dependent type] [NIDDM type] [adult-onset type] or unspecified type, not stated as uncontrolled, with ketoacidosis","250.21","Type 2 diabetes with ketoacidosis","DIABETES"
"250.11","9","type I diabetes mellitus [insulin dependent type] [IDDM] [juvenile type], not stated as uncontrolled, with ketoacidosis","250.11","Type 1 diabetes with ketoacidosis","DIABETES"
"250.12","9","type II diabetes mellitus [non-insulin dependent type] [NIDDM type] [adult-onset type] or unspecified type, uncontrolled, with ketoacidosis","250.21","Type 2 diabetes with ketoacidosis","DIABETES"
"250.13","9","type I diabetes mellitus [juvenile type], uncontrolled, with ketoacidosis","250.11","Type 1 diabetes with ketoacidosis","DIABETES"
"250.2","9","Diabetes mellitus with hyperosmolarity","250","Diabetes mellitus","DIABETES"
"250.20","9","Diabetes mellitus, type II [non-insulin dependent type] [NIDDM type] [adult-onset type] or unspecified type with hyperosmolarity, not stated as uncontrolled","250.2","Type 2 diabetes","DIABETES"
"250.21","9","Diabetes mellitus, type I [insulin dependent type] [IDDM] [juvenile type] with hyperosmolarity, not stated as uncontrolled","250.1","Type 1 diabetes","DIABETES"
"250.22","9","Diabetes mellitustype II [non-insulin dependent type] [NIDDM type] [adult-onset type] or unspecified type with hyperosmolarity, uncontrolled","250.2","Type 2 diabetes","DIABETES"
"250.23","9","Diabetes mellitus, type I [juvenile type] with hyperosmolarity, uncontrolled","250.1","Type 1 diabetes","DIABETES"
"250.3","9","Diabetes with other coma","250","Diabetes mellitus","DIABETES"
"250.30","9","Diabetes mellitus, type II [non-insulin dependent type] [NIDDM type] [adult-onset type] or unspecified type, not stated as uncontrolled","250.2","Type 2 diabetes","DIABETES"
"250.31","9","Diabetes mellitus, type I [insulin dependent type] [IDDM] [juvenile type], not stated as uncontrolled","250.1","Type 1 diabetes","DIABETES"
"250.32","9","Diabetes mellitus with other coma, type II [non-insulin dependent type] [NIDDM type] [adult-onset type] or unspecified type, uncontrolled","250.2","Type 2 diabetes","DIABETES"
"250.33","9","Diabetes mellitus with other coma, type I [juvenile type], uncontrolled","250.1","Type 1 diabetes","DIABETES"
"250.4","9","Diabetes with renal manifestations","250","Diabetes mellitus","DIABETES"
"250.40","9","Diabetes mellitus type II [non-insulin dependent type] [NIDDM type] [adult-onset type] or unspecified type, not stated as uncontrolled, with renal manifestations","250.22","Type 2 diabetes with renal manifestations","DIABETES"
"250.41","9","Diabetes mellitus type I [insulin dependent type] [IDDM] [juvenile type], not stated as uncontrolled, with renal manifestations","250.12","Type 1 diabetes with renal manifestations","DIABETES"
"250.42","9","Diabetes mellitus type II [non-insulin dependent type] [NIDDM type] [adult-onset type] or unspecified type, uncontrolled, with renal manifestations","250.22","Type 2 diabetes with renal manifestations","DIABETES"
"250.43","9","Diabetes mellitus type I [juvenile type], uncontrolled, with renal manifestations","250.12","Type 1 diabetes with renal manifestations","DIABETES"
"250.5","9","Diabetes with ophthalmic manifestations","250","Diabetes mellitus","DIABETES"
"250.50","9","Diabetes mellitus type II [non-insulin dependent type] [NIDDM type] [adult-onset type] or unspecified type, not stated as uncontrolled, with ophthalmic manifestations","250.23","Type 2 diabetes with ophthalmic manifestations","DIABETES"
"250.51","9","Diabetes mellitus type I [insulin dependent type] [IDDM] [juvenile type], not stated as uncontrolled, with ophthalmic manifestations","250.13","Type 1 diabetes with ophthalmic manifestations","DIABETES"
"250.52","9","Diabetes mellitus type II [non-insulin dependent type] [NIDDM type] [adult-onset type] or unspecified type, uncontrolled, with ophthalmic manifestations","250.23","Type 2 diabetes with ophthalmic manifestations","DIABETES"
"250.53","9","Diabetes mellitus type I [juvenile type], uncontrolled, with ophthalmic manifestations","250.13","Type 1 diabetes with ophthalmic manifestations","DIABETES"
"250.6","9","Diabetes with neurological manifestations","250","Diabetes mellitus","DIABETES"
"250.60","9","Diabetes mellitus type II [non-insulin dependent type] [NIDDM type] [adult-onset type] or unspecified type, not stated as uncontrolled, with neurological manifestations","250.24","Type 2 diabetes with neurological manifestations","DIABETES"
"250.61","9","Diabetes mellitus type I [insulin dependent type] [IDDM] [juvenile type], not stated as uncontrolled, with neurological manifestations","250.14","Type 1 diabetes with neurological manifestations","DIABETES"
"250.62","9","Diabetes mellitus type II [non-insulin dependent type] [NIDDM type] [adult-onset type] or unspecified type, uncontrolled, with neurological manifestations","250.24","Type 2 diabetes with neurological manifestations","DIABETES"
"250.63","9","Diabetes mellitus type I [juvenile type], uncontrolled, with neurological manifestations","250.14","Type 1 diabetes with neurological manifestations","DIABETES"
"250.7","9","Diabetes with peripheral circulatory disorders","250","Diabetes mellitus","DIABETES"
"250.70","9","Diabetes mellitus type II [non-insulin dependent type] [NIDDM type] [adult-onset type] or unspecified type, not stated as uncontrolled, with peripheral circulatory disorders","250.25","Diabetes type 2 with peripheral circulatory disorders","DIABETES"
"250.71","9","Diabetes mellitus type I [insulin dependent type] [IDDM] [juvenile type], not stated as uncontrolled, with peripheral circulatory disorders","250.15","Diabetes type 1 with peripheral circulatory disorders","DIABETES"
"250.72","9","Diabetes mellitus type II [non-insulin dependent type] [NIDDM type] [adult-onset type] or unspecified type, uncontrolled, with peripheral circulatory disorders","250.25","Diabetes type 2 with peripheral circulatory disorders","DIABETES"
"250.73","9","Diabetes mellitus type I [juvenile type], uncontrolled, with peripheral circulatory disorders","250.15","Diabetes type 1 with peripheral circulatory disorders","DIABETES"
"250.8","9","Diabetes with other specified manifestations","250","Diabetes mellitus","DIABETES"
"250.80","9","Diabetes mellitus type II [non-insulin dependent type] [NIDDM type] [adult-onset type] or unspecified type, not stated as uncontrolled, with other specified manifestations","250.2","Type 2 diabetes","DIABETES"
"250.81","9","Diabetes mellitus type I [insulin dependent type] [IDDM] [juvenile type], not stated as uncontrolled, with other specified manifestations","250.1","Type 1 diabetes","DIABETES"
"250.82","9","Diabetes mellitus type II [non-insulin dependent type] [NIDDM type] [adult-onset type] or unspecified type, uncontrolled, with other specified manifestations","250.2","Type 2 diabetes","DIABETES"
"250.83","9","Diabetes mellitus type I [juvenile type], uncontrolled, with other specified manifestations","250.1","Type 1 diabetes","DIABETES"
"250.9","9","Diabetes with unspecified complication","250","Diabetes mellitus","DIABETES"
"250.90","9","Diabetes mellitus type II [non-insulin dependent type] [NIDDM type] [adult-onset type] or unspecified type, not stated as uncontrolled, with unspecified complication","250.2","Type 2 diabetes","DIABETES"
"250.91","9","Diabetes mellitus type I [insulin dependent type] [IDDM] [juvenile type], not stated as uncontrolled, with unspecified complication","250.1","Type 1 diabetes","DIABETES"
"250.92","9","Diabetes mellitus type II [non-insulin dependent type] [NIDDM type] [adult-onset type] or unspecified type, uncontrolled, with unspecified complication","250.2","Type 2 diabetes","DIABETES"
"250.93","9","Diabetes mellitus type I [insulin dependent type] [IDDM] [juvenile type], uncontrolled, with unspecified complication","250.1","Type 1 diabetes","DIABETES"
"357.2","9","Polyneuropathy in diabetes","250.6","Polyneuropathy in diabetes","DIABETES"
"362.0","9","Diabetic retinopathy","250.7","Diabetic retinopathy"," diabetic retinopathy and degenerative disorders of the eye"
"362.01","9","Background diabetic retinopathy","250.7","Diabetic retinopathy"," diabetic retinopathy and degenerative disorders of the eye"
"362.02","9","Proliferative diabetic retinopathy","250.7","Diabetic retinopathy"," diabetic retinopathy and degenerative disorders of the eye"
"362.03","9","Nonproliferative diabetic retinopathy NOS","250.7","Diabetic retinopathy"," diabetic retinopathy and degenerative disorders of the eye"
"362.04","9","Mild nonproliferative diabetic retinopathy","250.7","Diabetic retinopathy"," diabetic retinopathy and degenerative disorders of the eye"
"362.05","9","Moderate nonproliferative diabetic retinopathy","250.7","Diabetic retinopathy"," diabetic retinopathy and degenerative disorders of the eye"
"362.06","9","Severe nonproliferative diabetic retinopathy","250.7","Diabetic retinopathy"," diabetic retinopathy and degenerative disorders of the eye"
"362.07","9","Diabetic macular edema","250.7","Diabetic retinopathy"," diabetic retinopathy and degenerative disorders of the eye"
"790.2","9","Abnormal glucose","250.4","Abnormal glucose","DIABETES"
"790.21","9","Impaired fasting glucose","250.41","Impaired fasting glucose","DIABETES"
"790.22","9","Impaired glucose tolerance test (oral)","250.41","Impaired fasting glucose","DIABETES"
"790.29","9","Other abnormal glucose","250.42","Other abnormal glucose","DIABETES"
"791.5","9","Glycosuria","250.5","Glycosuria or Acetonuria","DIABETES"
"791.6","9","Acetonuria","250.5","Glycosuria or Acetonuria","DIABETES"
"V45.85","9","Insulin pump status","250.3","Insulin pump user","DIABETES"
"V53.91","9","Fitting and adjustment of insulin pump Insulin pump titration","250.3","Insulin pump user","DIABETES"
"V58.67","9","Encounter for long-term (current) use of insulin","250.3","Insulin pump user","DIABETES"
"V65.46","9","Encounter for insulin pump training","250.3","Insulin pump user","DIABETES"
"E11.22","10","Type 2 diabetes mellitus with diabetic chronic kidney disease","250.22","Type 2 diabetes with renal manifestations","endocrine/metabolic"
"E11.21","10","Type 2 diabetes mellitus with diabetic nephropathy","250.22","Type 2 diabetes with renal manifestations","endocrine/metabolic"
"E11.2","10","Type 2 diabetes mellitus with kidney complications","250.22","Type 2 diabetes with renal manifestations","endocrine/metabolic"
