"ICD","Flag","ICDString","Phecode","PhecodeString","PhecodeCategory"
"714.0","9","Rheumatoid arthritis","714.1","Rheumatoid arthritis"," Autoimmune arthritis and psoriasis"
"714.1","9","Feltys syndrome","714.1","Rheumatoid arthritis"," Autoimmune arthritis and psoriasis"
"714.2","9","Other rheumatoid arthritis with visceral or systemic involvement","714.1","Rheumatoid arthritis"," Autoimmune arthritis and psoriasis"
"714.81","9","Rheumatoid lung","714.1","Rheumatoid arthritis"," Autoimmune arthritis and psoriasis"
"M05.571","10","Rheumatoid polyneuropathy with rheumatoid arthritis of right ankle and foot","714.1","Rheumatoid arthritis","musculoskeletal"
"M06.319","10","Rheumatoid nodule, unspecified shoulder","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.712","10","Rheumatoid arthritis with rheumatoid factor of left shoulder without organ or systems involvement","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.549","10","Rheumatoid polyneuropathy with rheumatoid arthritis of unspecified hand","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.572","10","Rheumatoid polyneuropathy with rheumatoid arthritis of left ankle and foot","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.831","10","Other rheumatoid arthritis with rheumatoid factor of right wrist","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.351","10","Rheumatoid heart disease with rheumatoid arthritis of right hip","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.77","10","Rheumatoid arthritis with rheumatoid factor of ankle and foot without organ or systems involvement","714.1","Rheumatoid arthritis","musculoskeletal"
"M06.011","10","Rheumatoid arthritis without rheumatoid factor, right shoulder","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.222","10","Rheumatoid vasculitis with rheumatoid arthritis of left elbow","714.1","Rheumatoid arthritis","musculoskeletal"
"M06.812","10","Other specified rheumatoid arthritis, left shoulder","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.112","10","Rheumatoid lung disease with rheumatoid arthritis of left shoulder","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.329","10","Rheumatoid heart disease with rheumatoid arthritis of unspecified elbow","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.122","10","Rheumatoid lung disease with rheumatoid arthritis of left elbow","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.641","10","Rheumatoid arthritis of right hand with involvement of other organs and systems","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.14","10","Rheumatoid lung disease with rheumatoid arthritis of hand","714.1","Rheumatoid arthritis","musculoskeletal"
"M06.821","10","Other specified rheumatoid arthritis, right elbow","714.1","Rheumatoid arthritis","musculoskeletal"
"M06.251","10","Rheumatoid bursitis, right hip","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.239","10","Rheumatoid vasculitis with rheumatoid arthritis of unspecified wrist","714.1","Rheumatoid arthritis","musculoskeletal"
"M06.022","10","Rheumatoid arthritis without rheumatoid factor, left elbow","714.1","Rheumatoid arthritis","musculoskeletal"
"M06.071","10","Rheumatoid arthritis without rheumatoid factor, right ankle and foot","714.1","Rheumatoid arthritis","musculoskeletal"
"M06.312","10","Rheumatoid nodule, left shoulder","714.1","Rheumatoid arthritis","musculoskeletal"
"M06.249","10","Rheumatoid bursitis, unspecified hand","714.1","Rheumatoid arthritis","musculoskeletal"
"M06.22","10","Rheumatoid bursitis, elbow","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.642","10","Rheumatoid arthritis of left hand with involvement of other organs and systems","714.1","Rheumatoid arthritis","musculoskeletal"
"M05.632","10","Rheumatoid arthritis of left wrist with involvement of other organs and systems","714.1","Rheumatoid arthritis","musculoskeletal"
